SHITOMASI + BRISK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 8.169150,13.553326,7.702080,6.865528,6.456718,8.474656,7.057062,7.269202,7.819468,
Description Time, 0.218136,0.211782,0.190516,0.193626,0.182293,0.160785,0.202352,0.162605,0.185210,
Keypoints, 120,123,120,120,115,114,125,112,113,
Matches, 127,120,123,120,120,115,114,125,112,


SHITOMASI + BRIEF
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 9.457282,6.788996,8.538891,7.309718,6.558783,7.703669,6.658826,8.312932,7.519376,
Description Time, 0.184547,0.194519,0.194583,0.247396,0.178483,0.181946,0.183400,0.184988,0.217160,
Keypoints, 120,123,120,120,115,114,125,112,113,
Matches, 127,120,123,120,120,115,114,125,112,


SHITOMASI + ORB
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 7.408992,6.810548,6.989355,6.800241,6.980187,9.659834,6.797041,6.521539,8.645955,
Description Time, 0.199233,0.214204,0.215505,0.191703,0.181023,0.172916,0.215221,0.174871,0.173179,
Keypoints, 120,123,120,120,115,114,125,112,113,
Matches, 127,120,123,120,120,115,114,125,112,


SHITOMASI + FREAK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 6.707871,6.665982,6.746752,6.922861,6.946570,6.808080,7.233454,6.758441,7.434523,
Description Time, 0.255286,0.204031,0.194441,0.189527,0.219049,0.184370,0.199198,0.192632,0.214879,
Keypoints, 120,123,120,120,115,114,125,112,113,
Matches, 127,120,123,120,120,115,114,125,112,


SHITOMASI + SIFT
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 10.141333,10.003377,10.524355,9.921778,10.193022,10.455229,12.131663,9.425526,10.247331,
Description Time, 2.255937,1.959464,1.971659,1.910133,1.961914,1.909120,1.924258,1.891749,1.859949,
Keypoints, 120,123,120,120,115,114,125,112,113,
Matches, 127,120,123,120,120,115,114,125,112,


HARRIS + BRISK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 7.977531,7.901530,8.030582,8.519609,21.391740,7.515075,9.884248,9.439120,13.247677,
Description Time, 0.062581,0.060710,0.060876,0.063946,0.092460,0.096828,0.063148,0.089026,0.087393,
Keypoints, 14,18,21,26,43,18,31,26,34,
Matches, 17,14,18,21,26,43,18,31,26,


HARRIS + BRIEF
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 7.505153,10.015094,8.798246,8.852281,22.389805,7.817246,9.738881,8.889605,15.777066,
Description Time, 0.062409,0.057355,0.067407,0.122665,0.092471,0.117141,0.065877,0.077625,0.053562,
Keypoints, 14,18,21,26,43,18,31,26,34,
Matches, 17,14,18,21,26,43,18,31,26,


HARRIS + ORB
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 10.858379,8.890167,8.980247,9.666071,23.363843,7.639482,10.227615,10.224483,13.700008,
Description Time, 0.039193,0.034397,0.061640,0.063150,0.122215,0.097995,0.106406,0.132423,0.125823,
Keypoints, 14,18,21,26,43,18,31,26,34,
Matches, 17,14,18,21,26,43,18,31,26,


HARRIS + FREAK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 9.870571,8.440421,8.291740,8.906317,22.633377,8.404994,10.954848,10.631645,16.752280,
Description Time, 0.050683,0.057417,0.081394,0.099916,0.103660,0.105964,0.074062,0.054729,0.051997,
Keypoints, 14,18,21,26,43,18,31,26,34,
Matches, 17,14,18,21,26,43,18,31,26,


HARRIS + SIFT
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 11.369540,11.379115,11.481987,12.496035,26.123295,12.203814,12.664388,11.895976,18.703898,
Description Time, 0.202604,0.213557,0.276296,0.371448,0.516541,0.395011,0.411322,0.398165,0.450352,
Keypoints, 14,18,21,26,43,18,31,26,34,
Matches, 17,14,18,21,26,43,18,31,26,


FAST + BRISK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 0.427892,0.431978,0.452692,0.465001,0.460463,0.512247,0.425157,0.485943,0.474569,
Description Time, 0.165406,0.158735,0.153170,0.169494,0.166550,0.162204,0.157927,0.160125,0.168323,
Keypoints, 95,93,98,98,99,90,92,101,95,
Matches, 95,95,93,98,98,99,90,92,101,


FAST + BRIEF
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 0.431303,0.464352,0.435742,0.455982,0.422170,0.508549,0.469158,0.431615,0.429665,
Description Time, 0.138558,0.171751,0.155004,0.138133,0.145894,0.164079,0.167071,0.156294,0.142703,
Keypoints, 95,93,98,98,99,90,92,101,95,
Matches, 95,95,93,98,98,99,90,92,101,


FAST + ORB
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
